source,lifecycle:transition,concept:name,Sheet,time:timestamp,FileName,case:concept:name,case:description,Url,Label,Value,Column,Row
Web,complete,clickButton,,2019-02-19 03:49:22.591000+11:00,,1,instance with id 9,,OK,,,
Excel,complete,openFile,Sheet1,2019-02-19 03:49:32.591000+11:00,data.xls,1,instance with id 10,,,,,
Web,complete,goToUrl,,2019-02-19 03:49:45.013000+11:00,,1,instance with id 10,www.webpage.com,,,,
Web,complete,insertValue,,2019-02-19 03:49:57.345000+11:00,,1,instance with id 10,,username,Frank01,,
Web,complete,insertValue,,2019-02-19 03:50:05.545000+11:00,,1,instance with id 10,,password,LittleFrank123,,
Web,complete,clickButton,,2019-02-19 03:50:12.791000+11:00,,1,instance with id 10,,confirm,,,
Web,complete,waitResponse,,2019-02-19 03:50:15.638000+11:00,,1,instance with id 10,www.webpage.com/ok,,,,
Web,complete,clickButton,,2019-02-19 03:50:21.119000+11:00,,1,instance with id 10,,Button1,,,
Web,complete,clickButton,,2019-02-19 03:50:24.140000+11:00,,1,instance with id 10,,B2,,,
Web,complete,insertValue,,2019-02-19 03:50:28.773000+11:00,,1,instance with id 10,,ID,182381,,
Excel,complete,copy,,2019-02-19 03:50:30.847000+11:00,,1,instance with id 10,,,Au 58124829 XT,B,1.0
Web,complete,paste,,2019-02-19 03:50:33.142000+11:00,,1,instance with id 10,,Special code,Au 58124829 XT,,
Excel,complete,copy,,2019-02-19 03:50:33.817000+11:00,,1,instance with id 10,,,Melbourne 123,B,2.0
Web,complete,paste,,2019-02-19 03:50:36.509000+11:00,,1,instance with id 10,,Area,Melbourne 123,,
Web,complete,clickButton,,2019-02-19 03:50:39.831000+11:00,,1,instance with id 10,,OK,,,
Excel,complete,openFile,Sheet1,2019-02-19 03:50:49.831000+11:00,data.xls,1,instance with id 11,,,,,
Web,complete,goToUrl,,2019-02-19 03:50:58.067000+11:00,,1,instance with id 11,www.webpage.com,,,,
Web,complete,insertValue,,2019-02-19 03:50:58.716000+11:00,,1,instance with id 11,,username,Frank01,,
Web,complete,insertValue,,2019-02-19 03:51:03.089000+11:00,,1,instance with id 11,,password,LittleFrank123,,
Web,complete,clickButton,,2019-02-19 03:51:12.269000+11:00,,1,instance with id 11,,confirm,,,
Web,complete,waitResponse,,2019-02-19 03:51:15.556000+11:00,,1,instance with id 11,www.webpage.com/ok,,,,
Web,complete,clickButton,,2019-02-19 03:51:26.974000+11:00,,1,instance with id 11,,Button1,,,
Web,complete,clickButton,,2019-02-19 03:51:31.163000+11:00,,1,instance with id 11,,B2,,,
Web,complete,insertValue,,2019-02-19 03:51:33.395000+11:00,,1,instance with id 11,,ID,182381,,
Excel,complete,copy,,2019-02-19 03:51:34.950000+11:00,,1,instance with id 11,,,Au 58124829 XT,B,1.0
Web,complete,paste,,2019-02-19 03:51:38.509000+11:00,,1,instance with id 11,,Special code,Au 58124829 XT,,
Excel,complete,copy,,2019-02-19 03:51:39.901000+11:00,,1,instance with id 11,,,Melbourne 123,B,2.0
Web,complete,paste,,2019-02-19 03:51:44.399000+11:00,,1,instance with id 11,,Area,Melbourne 123,,
Web,complete,clickButton,,2019-02-19 03:51:48.235000+11:00,,1,instance with id 11,,OK,,,
Excel,complete,openFile,Sheet1,2019-02-19 03:51:58.235000+11:00,data.xls,1,instance with id 12,,,,,
Web,complete,goToUrl,,2019-02-19 03:51:58.235000+11:00,,1,instance with id 12,www.webpage.com,,,,
Web,complete,insertValue,,2019-02-19 03:51:58.235000+11:00,,1,instance with id 12,,username,Frank01,,
Web,complete,insertValue,,2019-02-19 03:52:08.464000+11:00,,1,instance with id 12,,password,LittleFrank123,,
Web,complete,clickButton,,2019-02-19 03:52:17.060000+11:00,,1,instance with id 12,,confirm,,,
Web,complete,waitResponse,,2019-02-19 03:52:19.811000+11:00,,1,instance with id 12,www.webpage.com/ok,,,,
Web,complete,clickButton,,2019-02-19 03:52:32.733000+11:00,,1,instance with id 12,,Button1,,,
Web,complete,clickButton,,2019-02-19 03:52:35.814000+11:00,,1,instance with id 12,,B2,,,
Web,complete,insertValue,,2019-02-19 03:52:38.628000+11:00,,1,instance with id 12,,ID,182381,,
Excel,complete,copy,,2019-02-19 03:52:41.824000+11:00,,1,instance with id 12,,,Au 58124829 XT,B,1.0
Web,complete,paste,,2019-02-19 03:52:45.974000+11:00,,1,instance with id 12,,Special code,Au 58124829 XT,,
Excel,complete,copy,,2019-02-19 03:52:48.777000+11:00,,1,instance with id 12,,,Melbourne 123,B,2.0
Web,complete,paste,,2019-02-19 03:52:52.012000+11:00,,1,instance with id 12,,Area,Melbourne 123,,
Web,complete,clickButton,,2019-02-19 03:52:55.665000+11:00,,1,instance with id 12,,OK,,,
Excel,complete,openFile,Sheet1,2019-02-19 03:53:05.665000+11:00,data.xls,1,instance with id 13,,,,,
Web,complete,goToUrl,,2019-02-19 03:53:07.002000+11:00,,1,instance with id 13,www.webpage.com,,,,
Web,complete,insertValue,,2019-02-19 03:53:12.578000+11:00,,1,instance with id 13,,username,Frank01,,
Web,complete,insertValue,,2019-02-19 03:53:19.244000+11:00,,1,instance with id 13,,password,LittleFrank123,,
Web,complete,clickButton,,2019-02-19 03:53:25.617000+11:00,,1,instance with id 13,,confirm,,,
Web,complete,waitResponse,,2019-02-19 03:53:27.272000+11:00,,1,instance with id 13,www.webpage.com/ok,,,,
Web,complete,clickButton,,2019-02-19 03:53:27.272000+11:00,,1,instance with id 13,,Button1,,,
Web,complete,clickButton,,2019-02-19 03:53:30.001000+11:00,,1,instance with id 13,,B2,,,
Web,complete,insertValue,,2019-02-19 03:53:33.748000+11:00,,1,instance with id 13,,ID,182381,,
Excel,complete,copy,,2019-02-19 03:53:35.399000+11:00,,1,instance with id 13,,,Au 58124829 XT,B,1.0
Web,complete,paste,,2019-02-19 03:53:36.861000+11:00,,1,instance with id 13,,Special code,Au 58124829 XT,,
Excel,complete,copy,,2019-02-19 03:53:39.025000+11:00,,1,instance with id 13,,,Melbourne 123,B,2.0
Web,complete,paste,,2019-02-19 03:53:41.965000+11:00,,1,instance with id 13,,Area,Melbourne 123,,
Web,complete,clickButton,,2019-02-19 03:53:43.153000+11:00,,1,instance with id 13,,OK,,,
Excel,complete,openFile,Sheet1,2019-02-19 03:53:53.153000+11:00,data.xls,1,instance with id 14,,,,,
Web,complete,goToUrl,,2019-02-19 03:53:53.946000+11:00,,1,instance with id 14,www.webpage.com,,,,
Web,complete,insertValue,,2019-02-19 03:53:58.430000+11:00,,1,instance with id 14,,username,Frank01,,
Web,complete,insertValue,,2019-02-19 03:54:07.876000+11:00,,1,instance with id 14,,password,LittleFrank123,,
Web,complete,clickButton,,2019-02-19 03:54:25.181000+11:00,,1,instance with id 14,,confirm,,,
Web,complete,waitResponse,,2019-02-19 03:54:27.094000+11:00,,1,instance with id 14,www.webpage.com/ok,,,,
Web,complete,clickButton,,2019-02-19 03:54:39.121000+11:00,,1,instance with id 14,,Button1,,,
Web,complete,clickButton,,2019-02-19 03:54:41.839000+11:00,,1,instance with id 14,,B2,,,
Web,complete,insertValue,,2019-02-19 03:54:45.558000+11:00,,1,instance with id 14,,ID,182381,,
Excel,complete,copy,,2019-02-19 03:54:47.294000+11:00,,1,instance with id 14,,,Au 58124829 XT,B,1.0
Web,complete,paste,,2019-02-19 03:54:49.193000+11:00,,1,instance with id 14,,Special code,Au 58124829 XT,,
Excel,complete,copy,,2019-02-19 03:54:51.635000+11:00,,1,instance with id 14,,,Melbourne 123,B,2.0
Web,complete,paste,,2019-02-19 03:54:55.242000+11:00,,1,instance with id 14,,Area,Melbourne 123,,
Web,complete,clickButton,,2019-02-19 03:54:58.296000+11:00,,1,instance with id 14,,OK,,,
Excel,complete,openFile,Sheet1,2019-02-19 03:55:08.296000+11:00,data.xls,1,instance with id 15,,,,,
Web,complete,goToUrl,,2019-02-19 03:55:19.954000+11:00,,1,instance with id 15,www.webpage.com,,,,
Web,complete,insertValue,,2019-02-19 03:55:22.197000+11:00,,1,instance with id 15,,username,Frank01,,
Web,complete,insertValue,,2019-02-19 03:55:24.266000+11:00,,1,instance with id 15,,password,LittleFrank123,,
Web,complete,clickButton,,2019-02-19 03:55:26.171000+11:00,,1,instance with id 15,,confirm,,,
Web,complete,waitResponse,,2019-02-19 03:55:28.771000+11:00,,1,instance with id 15,www.webpage.com/ok,,,,
Web,complete,clickButton,,2019-02-19 03:55:38.191000+11:00,,1,instance with id 15,,Button1,,,
Web,complete,clickButton,,2019-02-19 03:55:41.219000+11:00,,1,instance with id 15,,B2,,,
Web,complete,insertValue,,2019-02-19 03:55:43.514000+11:00,,1,instance with id 15,,ID,182381,,
Excel,complete,copy,,2019-02-19 03:55:47.115000+11:00,,1,instance with id 15,,,Au 58124829 XT,B,1.0
Web,complete,paste,,2019-02-19 03:55:49.523000+11:00,,1,instance with id 15,,Special code,Au 58124829 XT,,
Excel,complete,copy,,2019-02-19 03:55:53.037000+11:00,,1,instance with id 15,,,Melbourne 123,B,2.0
Web,complete,paste,,2019-02-19 03:55:54.848000+11:00,,1,instance with id 15,,Area,Melbourne 123,,
Web,complete,clickButton,,2019-02-19 03:55:58.011000+11:00,,1,instance with id 15,,OK,,,
Excel,complete,openFile,Sheet1,2019-02-19 03:56:08.011000+11:00,data.xls,1,instance with id 16,,,,,
Web,complete,goToUrl,,2019-02-19 03:56:18.698000+11:00,,1,instance with id 16,www.webpage.com,,,,
Web,complete,insertValue,,2019-02-19 03:56:27.271000+11:00,,1,instance with id 16,,username,Frank01,,
Web,complete,insertValue,,2019-02-19 03:56:36.063000+11:00,,1,instance with id 16,,password,LittleFrank123,,
Web,complete,clickButton,,2019-02-19 03:56:55.840000+11:00,,1,instance with id 16,,confirm,,,
Web,complete,waitResponse,,2019-02-19 03:56:58.512000+11:00,,1,instance with id 16,www.webpage.com/ok,,,,
Web,complete,clickButton,,2019-02-19 03:57:05.276000+11:00,,1,instance with id 16,,Button1,,,
Web,complete,clickButton,,2019-02-19 03:57:08.342000+11:00,,1,instance with id 16,,B2,,,
Web,complete,insertValue,,2019-02-19 03:57:11.536000+11:00,,1,instance with id 16,,ID,182381,,
Excel,complete,copy,,2019-02-19 03:57:14.985000+11:00,,1,instance with id 16,,,Au 58124829 XT,B,1.0
Web,complete,paste,,2019-02-19 03:57:17.975000+11:00,,1,instance with id 16,,Special code,Au 58124829 XT,,
Excel,complete,copy,,2019-02-19 03:57:20.277000+11:00,,1,instance with id 16,,,Melbourne 123,B,2.0
Web,complete,paste,,2019-02-19 03:57:23.576000+11:00,,1,instance with id 16,,Area,Melbourne 123,,
Web,complete,clickButton,,2019-02-19 03:57:26.677000+11:00,,1,instance with id 16,,OK,,,
Excel,complete,openFile,Sheet1,2019-02-19 03:57:36.677000+11:00,data.xls,1,instance with id 17,,,,,
Web,complete,goToUrl,,2019-02-19 03:57:44.663000+11:00,,1,instance with id 17,www.webpage.com,,,,
Web,complete,insertValue,,2019-02-19 03:57:58.044000+11:00,,1,instance with id 17,,username,Frank01,,
Web,complete,insertValue,,2019-02-19 03:58:09.675000+11:00,,1,instance with id 17,,password,LittleFrank123,,
Web,complete,clickButton,,2019-02-19 03:58:17.829000+11:00,,1,instance with id 17,,confirm,,,
Web,complete,waitResponse,,2019-02-19 03:58:22.344000+11:00,,1,instance with id 17,www.webpage.com/ok,,,,
Web,complete,clickButton,,2019-02-19 03:58:27.338000+11:00,,1,instance with id 17,,Button1,,,
Web,complete,clickButton,,2019-02-19 03:58:31.929000+11:00,,1,instance with id 17,,B2,,,
Web,complete,insertValue,,2019-02-19 03:58:35.689000+11:00,,1,instance with id 17,,ID,182381,,
Excel,complete,copy,,2019-02-19 03:58:38.516000+11:00,,1,instance with id 17,,,Au 58124829 XT,B,1.0
Web,complete,paste,,2019-02-19 03:58:39.735000+11:00,,1,instance with id 17,,Special code,Au 58124829 XT,,
Excel,complete,copy,,2019-02-19 03:58:43.269000+11:00,,1,instance with id 17,,,Melbourne 123,B,2.0
Web,complete,paste,,2019-02-19 03:58:48.438000+11:00,,1,instance with id 17,,Area,Melbourne 123,,
Web,complete,clickButton,,2019-02-19 03:58:51.894000+11:00,,1,instance with id 17,,OK,,,
Excel,complete,openFile,Sheet1,2019-02-19 03:59:01.894000+11:00,data.xls,1,instance with id 18,,,,,
Web,complete,goToUrl,,2019-02-19 03:59:13.350000+11:00,,1,instance with id 18,www.webpage.com,,,,
Web,complete,insertValue,,2019-02-19 03:59:18.242000+11:00,,1,instance with id 18,,username,Frank01,,
Web,complete,insertValue,,2019-02-19 03:59:25.698000+11:00,,1,instance with id 18,,password,LittleFrank123,,
Web,complete,clickButton,,2019-02-19 03:59:35.335000+11:00,,1,instance with id 18,,confirm,,,
Web,complete,waitResponse,,2019-02-19 03:59:40.320000+11:00,,1,instance with id 18,www.webpage.com/ok,,,,
Web,complete,clickButton,,2019-02-19 03:59:47.948000+11:00,,1,instance with id 18,,Button1,,,
Web,complete,clickButton,,2019-02-19 03:59:51.961000+11:00,,1,instance with id 18,,B2,,,
Web,complete,insertValue,,2019-02-19 03:59:56.019000+11:00,,1,instance with id 18,,ID,182381,,
Excel,complete,copy,,2019-02-19 03:59:57.605000+11:00,,1,instance with id 18,,,Au 58124829 XT,B,1.0
Web,complete,paste,,2019-02-19 03:59:58.857000+11:00,,1,instance with id 18,,Special code,Au 58124829 XT,,
Excel,complete,copy,,2019-02-19 03:59:59.911000+11:00,,1,instance with id 18,,,Melbourne 123,B,2.0
Web,complete,paste,,2019-02-19 04:00:01.359000+11:00,,1,instance with id 18,,Area,Melbourne 123,,
Web,complete,clickButton,,2019-02-19 04:00:04.655000+11:00,,1,instance with id 18,,OK,,,
Excel,complete,openFile,Sheet1,2019-02-19 04:00:14.655000+11:00,data.xls,1,instance with id 19,,,,,
Web,complete,goToUrl,,2019-02-19 04:00:14.655000+11:00,,1,instance with id 19,www.webpage.com,,,,
Web,complete,insertValue,,2019-02-19 04:00:17.973000+11:00,,1,instance with id 19,,username,Frank01,,
Web,complete,insertValue,,2019-02-19 04:00:24.421000+11:00,,1,instance with id 19,,password,LittleFrank123,,
Web,complete,clickButton,,2019-02-19 04:00:24.421000+11:00,,1,instance with id 19,,confirm,,,
Web,complete,waitResponse,,2019-02-19 04:00:27.296000+11:00,,1,instance with id 19,www.webpage.com/ok,,,,
